model,phenomenon,accuracy,correct,total
openai/gpt-oss-120b,OVERALL,0.746,373,500
openai/gpt-oss-120b,QUIRKY_CASE,0.824,103,125
openai/gpt-oss-120b,UMLAUT,0.832,104,125
openai/gpt-oss-120b,MIDDLE_VOICE,0.48,60,125
openai/gpt-oss-120b,ADJECTIVE,0.848,106,125
openai/gpt-oss-20b,OVERALL,0.578,289,500
openai/gpt-oss-20b,QUIRKY_CASE,0.68,85,125
openai/gpt-oss-20b,UMLAUT,0.464,58,125
openai/gpt-oss-20b,MIDDLE_VOICE,0.368,46,125
openai/gpt-oss-20b,ADJECTIVE,0.8,100,125
llama-3.3-70b-versatile,OVERALL,0.786,393,500
llama-3.3-70b-versatile,QUIRKY_CASE,0.832,104,125
llama-3.3-70b-versatile,UMLAUT,0.68,85,125
llama-3.3-70b-versatile,MIDDLE_VOICE,0.856,107,125
llama-3.3-70b-versatile,ADJECTIVE,0.776,97,125
llama-3.1-8b-instant,OVERALL,0.612,306,500
llama-3.1-8b-instant,QUIRKY_CASE,0.664,83,125
llama-3.1-8b-instant,UMLAUT,0.624,78,125
llama-3.1-8b-instant,MIDDLE_VOICE,0.472,59,125
llama-3.1-8b-instant,ADJECTIVE,0.688,86,125
