id,phenomenon,grammatical,ungrammatical,target,error_type
ON_QUIRKY_CASE_001,QUIRKY_CASE,"Hér hefr upp ok segir frá þeim manni , er Sigi er nefndr ok kallaðr , at héti sonr Óðins .","Hér hefr upp ok segir frá þeir manni , er Sigi er nefndr ok kallaðr , at héti sonr Óðins .",þeim,dative_to_nominative
ON_QUIRKY_CASE_002,QUIRKY_CASE,"Þetta vápn sýndist öllum svá gott , at engi þóttist sét hafa jafngott sverð , ok býðr Siggeirr honum at vega þrjú jafnvægi gulls .","Þetta vápn sýndist öllum svá gott , at engi þóttist sét hafa jafngott sverð , ok býðr Siggeirr hann at vega þrjú jafnvægi gulls .",honum,dative_to_nominative
ON_QUIRKY_CASE_003,QUIRKY_CASE,"Ok er hann kemr aptr , segir hann henni , at dauðr sé einn þeira .","Ok er hann kemr aptr , segir hann hon , at dauðr sé einn þeira .",henni,dative_to_nominative
ON_QUIRKY_CASE_004,QUIRKY_CASE,"En er þeir koma , þá segir hann þeim allan atburð hvé farit hafði með þeim ok ylginni .","En er þeir koma , þá segir hann þeir allan atburð hvé farit hafði með þeim ok ylginni .",þeim,dative_to_nominative
ON_QUIRKY_CASE_005,QUIRKY_CASE,"Nú hleypr hann í höllina innar fyrir föður sinn ok segir honum , hvat hann hefir sét .","Nú hleypr hann í höllina innar fyrir föður sinn ok segir hann , hvat hann hefir sét .",honum,dative_to_nominative
ON_QUIRKY_CASE_006,QUIRKY_CASE,"Ok er nátta tekr , þá mælti Sinfjötli til Sigmundar : `` Ekki ætla ek okkr mat skorta um hríð .","Ok er nátta tekr , þá mælti Sinfjötli til Sigmundar : `` Ekki ætla ek vit mat skorta um hríð .",okkr,dative_to_nominative
ON_QUIRKY_CASE_007,QUIRKY_CASE,"Sinfjötli svarar : `` Hvárt mantu þat , er þú vart merrin með hestinum Grana , ok reið ek þér á skeið á Brávelli ?","Sinfjötli svarar : `` Hvárt mantu þat , er þú vart merrin með hestinum Grana , ok reið ek þú á skeið á Brávelli ?",þér,dative_to_nominative
ON_QUIRKY_CASE_008,QUIRKY_CASE,Þeir mættust í borgarhliði ok segja honum hersögu .,Þeir mættust í borgarhliði ok segja hann hersögu .,honum,dative_to_nominative
ON_QUIRKY_CASE_009,QUIRKY_CASE,"Þá var konungr drukkinn mjök , ok því sagði hann svá .","Þá var konungr drukkinn mjök , ok þat sagði hann svá .",því,dative_to_nominative
ON_QUIRKY_CASE_010,QUIRKY_CASE,"Ambáttin hefir svör fyrir þeim ok segir fall Sigmundar konungs ok Eylima konungs ok margs annars stórmennis ok svá , hverir gert hafa .","Ambáttin hefir svör fyrir þeir ok segir fall Sigmundar konungs ok Eylima konungs ok margs annars stórmennis ok svá , hverir gert hafa .",þeim,dative_to_nominative
ON_QUIRKY_CASE_011,QUIRKY_CASE,Hún svarar honum : `` Faðir minn gaf mér eitt gull lítit við náttúru .,Hún svarar honum : `` Faðir minn gaf ek eitt gull lítit við náttúru .,mér,dative_to_nominative
ON_QUIRKY_CASE_012,QUIRKY_CASE,"Frá honum segja allir eitt , at um atferð ok vöxt var engi hans maki .","Frá hann segja allir eitt , at um atferð ok vöxt var engi hans maki .",honum,dative_to_nominative
ON_QUIRKY_CASE_013,QUIRKY_CASE,Reginn mælti : `` Trúir þú þeim allvel ? '',Reginn mælti : `` Trúir þú þeir allvel ? '',þeim,dative_to_nominative
ON_QUIRKY_CASE_014,QUIRKY_CASE,Reginn mælti : `` Bið hann gefa þér einn hest . '',Reginn mælti : `` Bið hann gefa þú einn hest . '',þér,dative_to_nominative
ON_QUIRKY_CASE_015,QUIRKY_CASE,"Reginn svarar : `` Saga er til þess , ok mun ek segja þér . ''","Reginn svarar : `` Saga er til þess , ok mun ek segja þú . ''",þér,dative_to_nominative
ON_QUIRKY_CASE_016,QUIRKY_CASE,"Ok þótt þú segir mér eigi þitt nafn á banadægri mínu , þá veiztu , at þú lýgr nú . ''","Ok þótt þú segir ek eigi þitt nafn á banadægri mínu , þá veiztu , at þú lýgr nú . ''",mér,dative_to_nominative
ON_QUIRKY_CASE_017,QUIRKY_CASE,"Önnur segir : `` Þar liggr Reginn ok vill véla þann , sem honum trúir . ''","Önnur segir : `` Þar liggr Reginn ok vill véla þann , sem hann trúir . ''",honum,dative_to_nominative
ON_QUIRKY_CASE_018,QUIRKY_CASE,"Ok trú ekki þeim , er þú hefir felldan fyrir föður eða bróður eða annan náfrænda , þótt ungr sé .","Ok trú ekki þeir , er þú hefir felldan fyrir föður eða bróður eða annan náfrænda , þótt ungr sé .",þeim,dative_to_nominative
ON_QUIRKY_CASE_019,QUIRKY_CASE,"Álsviðr býðr honum með sér at vera ok af sér at þiggja slíkt , er hann vill .","Álsviðr býðr hann með sér at vera ok af sér at þiggja slíkt , er hann vill .",honum,dative_to_nominative
ON_QUIRKY_CASE_020,QUIRKY_CASE,"`` Hana skal ek hitta , '' sagði Sigurðr , `` ok gefa henni gull ok ná hennar gamni ok jafnaðarþokka . ''","`` Hana skal ek hitta , '' sagði Sigurðr , `` ok gefa hon gull ok ná hennar gamni ok jafnaðarþokka . ''",henni,dative_to_nominative
ON_QUIRKY_CASE_021,QUIRKY_CASE,"Hún svarar : `` Seg mér ok lát þik eigi hryggja , því at jafnan dreymir fyrir veðrum . ''","Hún svarar : `` Seg ek ok lát þik eigi hryggja , því at jafnan dreymir fyrir veðrum . ''",mér,dative_to_nominative
ON_QUIRKY_CASE_022,QUIRKY_CASE,"En af því kom ek hér at segja þér drauma mína , er mér fengu mikillar áhyggju . ''","En af þat kom ek hér at segja þér drauma mína , er mér fengu mikillar áhyggju . ''",því,dative_to_nominative
ON_QUIRKY_CASE_023,QUIRKY_CASE,"Grímhildr gefr honum meinblandinn mjöð , er öllum oss kemr í mikit stríð .","Grímhildr gefr hann meinblandinn mjöð , er öllum oss kemr í mikit stríð .",honum,dative_to_nominative
ON_QUIRKY_CASE_024,QUIRKY_CASE,"Konungr svarar : `` Fátítt er þat at bjóða fram dætr sínar , en meiri vegr er at bjóða honum en aðrir biði . ''","Konungr svarar : `` Fátítt er þat at bjóða fram dætr sínar , en meiri vegr er at bjóða hann en aðrir biði . ''",honum,dative_to_nominative
ON_QUIRKY_CASE_025,QUIRKY_CASE,"Hann tók þá af henni hringinn Andvaranaut , er hann gaf henni , en fekk henni nú annan hring af Fáfnis arfi .","Hann tók þá af henni hringinn Andvaranaut , er hann gaf hon , en fekk henni nú annan hring af Fáfnis arfi .",henni,dative_to_nominative
ON_QUIRKY_CASE_026,QUIRKY_CASE,"Þá hugsaða ek með mér , hvárt ek skylda hlýða hans vilja eða drepa margan mann .","Þá hugsaða ek með ek , hvárt ek skylda hlýða hans vilja eða drepa margan mann .",mér,dative_to_nominative
ON_QUIRKY_CASE_027,QUIRKY_CASE,"Far heldr ok finn hana ok vit , ef sjatni hennar ofsi , gef henni gull ok mýk svá hennar reiði . ''","Far heldr ok finn hana ok vit , ef sjatni hennar ofsi , gef hon gull ok mýk svá hennar reiði . ''",henni,dative_to_nominative
ON_QUIRKY_CASE_028,QUIRKY_CASE,Brynhildr svarar : `` Þér skal ek segja mína reiði . '',Brynhildr svarar : `` Þú skal ek segja mína reiði . '',Þér,dative_to_nominative
ON_QUIRKY_CASE_029,QUIRKY_CASE,"`` Nei , '' segir hún , `` eigi reið Gunnarr eldinn til vár , ok eigi galt hann mér at mundi felldan val .","`` Nei , '' segir hún , `` eigi reið Gunnarr eldinn til vár , ok eigi galt hann ek at mundi felldan val .",mér,dative_to_nominative
ON_QUIRKY_CASE_030,QUIRKY_CASE,"Sigurðr svarar : `` Ekki varð ek þinn maðr , ok vartu mín kona , ok galt við þér mund ágætr konungr . ''","Sigurðr svarar : `` Ekki varð ek þinn maðr , ok vartu mín kona , ok galt við þú mund ágætr konungr . ''",þér,dative_to_nominative
ON_QUIRKY_CASE_031,QUIRKY_CASE,Þeir tóku orm einn ok af vargsholdi ok létu sjóða ok gáfu honum at eta sem skáldit kvað :,Þeir tóku orm einn ok af vargsholdi ok létu sjóða ok gáfu hann at eta sem skáldit kvað :,honum,dative_to_nominative
ON_QUIRKY_CASE_032,QUIRKY_CASE,"Grímhildr ræðst í ferð með þeim ok segir þeira erendi svá fremi fullgert munu verða , at hún siti eigi heima .","Grímhildr ræðst í ferð með þeir ok segir þeira erendi svá fremi fullgert munu verða , at hún siti eigi heima .",þeim,dative_to_nominative
ON_QUIRKY_CASE_033,QUIRKY_CASE,Guðrún segir : `` Ekki má ek af honum hyggja ; hann var öllum fremri . '',Guðrún segir : `` Ekki má ek af hann hyggja ; hann var öllum fremri . '',honum,dative_to_nominative
